code,name,risk_source,amount
159998,计算机ETF天弘,科技成长,119933284
159997,电子ETF天弘,科技成长,110759238
159996,家电ETF国泰,消费,233060154
159995,芯片ETF华夏,科技成长,1669228007
159994,通信ETF银华,科技成长,244247522
159993,证券ETF鹏华,金融,112613194
159992,创新药ETF银华,医药,698822570
159981,能源化工ETF建信,周期资源,547246017
159980,有色ETF大成,周期资源,427070822
159945,能源ETF广发,周期资源,14401343
159944,材料ETF广发,周期资源,11819033
159940,金融地产ETF广发,金融,2005388
159939,信息技术ETF广发,科技成长,43714815
159938,医药ETF广发,医药,78949453
159936,可选消费ETF广发,消费,2676839
159933,金融地产ETF国投瑞银,金融,179602
159931,金融地产ETF汇添富,金融,293877
159930,能源ETF汇添富,周期资源,198457014
159929,医药ETF汇添富,医药,64652210
159928,消费ETF汇添富,消费,395183256
159899,软件ETF招商,科技成长,28103307
159898,医疗器械ETF招商,医药,19614813
159891,医疗ETF建信,医药,10739130
159887,银行ETF富国,金融,61756783
159883,医疗器械ETF永赢,医药,93706336
159881,有色金属ETF国泰,周期资源,14588563
159880,有色ETF鹏华,周期资源,68029648
159877,医疗ETF南方,医药,769039
159876,有色ETF华宝,周期资源,117375769
159875,新能源ETF嘉实,周期资源,114036277
159873,医疗设备ETF天弘,医药,13014900
159871,有色ETF银华,周期资源,56463113
159870,化工ETF鹏华,周期资源,810643127
159867,养殖ETF鹏华,消费,45030660
159865,养殖ETF国泰,消费,150863635
159862,食品饮料ETF银华,消费,3569065
159859,生物医药ETF天弘,医药,104995707
159858,创新药ETF南方,医药,8627643
159852,软件ETF嘉实,科技成长,442131845
159851,金融科技ETF华宝,金融,398324238
159848,证券ETF国联安,金融,4526301
159847,医疗ETF易方达,医药,26335107
159843,食品饮料ETF招商,消费,6984564
159842,券商ETF银华,金融,409618784
159841,证券ETF天弘,金融,313328447
159839,生物医药ETF汇添富,医药,30552674
159838,医药50ETF博时,医药,1570849
159835,创新药ETF建信,医药,17903735
159828,医疗ETF国泰,医药,38533764
159827,农业ETF银华,消费,4428640
159825,农业ETF富国,消费,69278472
159824,新能源车ETF博时,周期资源,5831542
159819,人工智能ETF易方达,科技成长,787763813
159813,半导体ETF鹏华,科技成长,514706187
159811,5GETF博时,科技成长,48188383
159806,新能源车ETF国泰,周期资源,36918078
159801,芯片ETF广发,科技成长,373706778
159798,消费ETF易方达,消费,11126873
159797,医疗器械ETF汇添富,医药,3884741
159793,线上消费ETF平安,消费,580873
159783,科创创业50ETF华夏,科技成长,355213557
159781,科创创业ETF易方达,科技成长,699931158
159780,科创创业50ETF南方,科技成长,209401214
159779,消费电子ETF招商,消费,36723716
159776,港股医药ETF银华,医药,6496450
159770,机器人ETF天弘,科技成长,335918201
159766,旅游ETF富国,消费,172552207
159763,新材料ETF建信,周期资源,8191272
159761,新材料ETF国泰,周期资源,16779947
159760,医疗健康ETF泰康,医药,564869
159752,新能源ETF申万菱信,周期资源,11794319
159748,创新药ETF富国,医药,19764304
159736,食品饮料ETF天弘,消费,19051214
159735,港股消费ETF银华,消费,42626482
159732,消费电子ETF华夏,消费,490617420
159730,家电ETF博时,消费,3953841
159728,在线消费ETF南方,消费,6418138
159725,线上消费ETF工银,消费,9273719
159718,港股医药ETF平安,医药,13001137
159715,稀土ETF易方达,周期资源,123250236
159713,稀土ETF富国,周期资源,130953652
159703,新材料ETF天弘,周期资源,11558902
159697,石油ETF鹏华,周期资源,66944518
159695,通信ETF嘉实,科技成长,56273213
159692,证券ETF东财,金融,76226840
159690,有色矿业ETF招商,周期资源,43452432
159689,消费ETF南方,消费,1653144
159672,消费ETF博时,消费,2283158
159670,消费50ETF国联安,消费,3115109
159665,半导体龙头ETF工银,科技成长,72659577
159658,数字经济ETF华安,科技成长,7813418
159652,有色ETF汇添富,周期资源,234853946
159647,中药ETF鹏华,医药,20561916
159637,新能源车ETF东财,周期资源,18196603
159622,创新药ETF东财,医药,60086087
159616,农牧ETF建信,消费,12810785
159603,科创创业ETF天弘,科技成长,27135663
159599,芯片ETF东财,科技成长,241058468
159590,软件ETF汇添富,科技成长,54560933
159588,石油ETF景顺,周期资源,38212878
159586,计算机ETF南方,科技成长,13380032
159583,通信ETF富国,科技成长,487639514
159582,半导体ETF博时,科技成长,81180807
159570,港股通创新药ETF汇添富,医药,2681808944
159567,港股创新药ETF银华,医药,874169030
159560,芯片ETF景顺,科技成长,33653809
159559,机器人ETF景顺,科技成长,211148597
159558,半导体设备ETF易方达,科技成长,765915259
159551,机器人ETF国泰,科技成长,38682379
159540,信创ETF易方达,科技成长,41505084
159539,信创ETF广发,科技成长,22180559
159538,信创ETF富国,科技成长,8275626
159537,信创ETF国泰,科技成长,10469406
159530,机器人ETF易方达,科技成长,1384406627
159526,机器人ETF嘉实,科技成长,55758635
159520,消费龙头ETF工银,消费,9905651
159516,半导体设备ETF国泰,科技成长,3278367645
159511,通信ETF南方,科技成长,19244580
159508,生物医药ETF华安,医药,1924979
159507,通信ETF广发,科技成长,49367492
159506,港股通创新药医疗ETF富国,医药,373292176
159392,航空ETF富国,军工,12017386
159389,数字经济ETF嘉实,科技成长,9885975
159385,数字经济ETF富国,科技成长,14273586
159378,通用航空ETF永赢,军工,41181941
159366,港股医疗ETF永赢,医药,53749733
159328,家电ETF易方达,消费,2063133
159327,半导体设备ETF万家,科技成长,186654052
159325,半导体ETF南方,科技成长,188705112
159316,港股通创新药ETF易方达,医药,725052760
159311,数字经济ETF易方达,科技成长,1869437
159310,芯片ETF天弘,科技成长,30291903
159299,金融科技ETF易方达,金融,26543840
159297,港股通创新药ETF南方,医药,116846969
159286,港股通创新药ETF鹏华,医药,40213785
159285,港股通消费ETF华安,消费,11206649
159283,通用航空ETF南方,军工,13637365
159278,机器人ETF鹏华,科技成长,144539291
159275,农牧渔ETF华宝,消费,11485750
159272,机器人ETF富国,科技成长,185379628
159268,港股通消费ETF汇添富,消费,85585942
159265,港股消费ETF鹏华,消费,21923977
159260,证券ETF博时,金融,8812977
159258,机器人ETF南方,科技成长,50500691
159257,航空ETF汇添富,军工,9685467
159255,通用航空ETF易方达,军工,7803326
159253,银行ETF博时,金融,2030827
159248,人工智能ETF万家,科技成长,32041429
159245,港股通消费ETF富国,消费,3983454
