risk_source,code,name,list_date,amount
消费,512690,酒ETF鹏华,2019-05-06,840705534
消费,159928,消费ETF汇添富,2013-09-16,395183256
消费,159865,养殖ETF国泰,2021-03-08,150863635
医药,159992,创新药ETF银华,2020-04-10,698822570
医药,512170,医疗ETF华宝,2019-06-17,561963164
医药,512010,医药ETF易方达,2015-08-04,445543068
金融,512880,证券ETF国泰,2016-08-08,2491566922
金融,512000,券商ETF鹏华,2016-09-14,1394146050
金融,512800,银行ETF鹏华,2017-08-03,861982889
周期资源,512400,有色金属ETF南方,2017-09-01,1222480512
周期资源,515220,煤炭ETF国泰,2020-03-02,936705245
周期资源,159870,化工ETF鹏华,2021-03-03,810643127
科技成长,512480,半导体ETF华夏,2019-06-12,2169576784
科技成长,515880,通信ETF国泰,2019-09-06,4179835398
科技成长,159995,芯片ETF华夏,2020-02-10,1669228007
军工,512660,军工ETF国泰,2016-08-08,464773160
军工,512710,军工龙头ETF富国,2019-08-26,424897975
军工,512680,军工ETF广发,2016-10-14,70382876
