触发日期,scaling_factor,predicted_vol,active_count,熔断触发
2014-01-28,1.1844,0.0844,4,True
2014-01-29,1.1905,0.084,4,True
2014-01-30,1.2087,0.0827,4,True
2014-02-07,1.2017,0.0832,4,True
2014-02-10,1.1952,0.0837,4,True
2014-02-11,1.2027,0.0831,4,True
2014-02-12,1.2212,0.0819,4,True
2014-03-10,0.8584,0.1165,4,True
2014-03-11,1.3805,0.0724,3,True
2014-03-20,0.8452,0.1183,4,True
2014-03-24,1.3715,0.0729,3,True
2014-03-25,1.3233,0.0756,3,True
2014-03-26,1.3626,0.0734,3,True
2014-03-27,1.307,0.0765,2,True
2014-03-28,1.287,0.0777,3,True
2014-03-31,1.3268,0.0754,3,True
2014-04-01,1.3529,0.0739,3,True
2014-04-02,1.3138,0.0761,3,True
2014-04-03,1.3546,0.0738,3,True
2014-04-04,1.3597,0.0735,3,True
2014-04-08,1.3689,0.073,2,True
2014-04-09,1.4093,0.071,2,True
2014-04-10,1.3714,0.0729,3,True
2014-04-11,1.4862,0.0673,2,True
2014-04-14,1.4574,0.0686,2,True
2014-04-15,1.4117,0.0708,2,True
2014-04-16,1.3889,0.072,2,True
2014-04-17,1.4231,0.0703,2,True
2014-04-18,3.1661,0.0316,1,True
2014-04-21,3.2506,0.0308,1,True
2014-04-25,2.7841,0.0359,1,True
2014-04-28,2.8235,0.0354,1,False
2014-04-29,2.8942,0.0346,1,True
2014-04-30,2.8099,0.0356,1,True
2014-05-05,1.5435,0.0648,2,True
2014-05-06,2.971,0.0337,1,True
2014-05-07,1.4427,0.0693,3,True
2014-05-08,1.3196,0.0758,2,True
2014-05-09,1.3539,0.0739,2,True
2014-05-12,1.2395,0.0807,2,True
2014-05-13,1.2735,0.0785,2,True
2014-05-14,1.2568,0.0796,3,True
2014-05-15,1.3075,0.0765,2,True
2014-05-16,1.3486,0.0742,2,True
2014-05-19,1.3069,0.0765,2,True
2014-05-20,3.4685,0.0288,1,True
2014-05-21,3.5535,0.0281,1,True
2014-05-22,3.6322,0.0275,1,True
2014-05-23,1.3292,0.0752,2,True
2014-05-26,1.7569,0.0569,4,True
2014-05-27,1.8934,0.0528,3,True
2014-05-29,1.4228,0.0703,3,True
2014-05-30,1.4019,0.0713,2,True
2014-06-03,1.4377,0.0696,2,True
2014-06-04,1.482,0.0675,2,True
2014-06-06,1.5281,0.0654,2,True
2014-06-09,1.5731,0.0636,2,True
2014-06-10,1.5657,0.0639,2,True
2014-06-11,1.608,0.0622,2,False
2014-06-19,1.6882,0.0592,2,False
2014-06-20,1.2671,0.0789,4,False
