label,defense_ratio,offense_top_k,strategy_总收益,strategy_年化,strategy_波动率,strategy_Sharpe,strategy_最大回撤,bench_hs300_总收益,bench_hs300_年化,bench_hs300_波动率,bench_hs300_Sharpe,bench_hs300_最大回撤,bench_cyb_总收益,bench_cyb_年化,bench_cyb_波动率,bench_cyb_Sharpe,bench_cyb_最大回撤,bench_ndx_总收益,bench_ndx_年化,bench_ndx_波动率,bench_ndx_Sharpe,bench_ndx_最大回撤
纯防御,1.0,0,3.759302134867821,0.14022253849985167,0.11371981210106018,1.2330528507665763,-0.13382580344210618,122.9%,7.0%,22.4%,0.31,-46.3%,186.4%,9.3%,33.4%,0.28,-69.6%,90.5%,5.6%,31.8%,0.18,-85.5%
K=2,0.7,2,1.8819847555518927,0.09311450018250467,0.10535291821074766,0.8838340860785526,-0.1577710070843068,122.9%,7.0%,22.4%,0.31,-46.3%,186.4%,9.3%,33.4%,0.28,-69.6%,90.5%,5.6%,31.8%,0.18,-85.5%
K=3,0.7,3,1.7017198088559495,0.08719186488699293,0.10439331630306234,0.8352245907570156,-0.1657626832071161,122.9%,7.0%,22.4%,0.31,-46.3%,186.4%,9.3%,33.4%,0.28,-69.6%,90.5%,5.6%,31.8%,0.18,-85.5%
K=4,0.7,4,1.6463816367016917,0.08530101236606913,0.10344872265189849,0.8245728915677789,-0.16416327116830187,122.9%,7.0%,22.4%,0.31,-46.3%,186.4%,9.3%,33.4%,0.28,-69.6%,90.5%,5.6%,31.8%,0.18,-85.5%
K=5,0.7,5,1.5717352327844267,0.08269221012804207,0.1013382678687523,0.8160018112322625,-0.1628242939273005,122.9%,7.0%,22.4%,0.31,-46.3%,186.4%,9.3%,33.4%,0.28,-69.6%,90.5%,5.6%,31.8%,0.18,-85.5%
K=6,0.7,6,1.5814518640676947,0.08303569130839383,0.10207693316485605,0.8134618540536452,-0.15951647245112693,122.9%,7.0%,22.4%,0.31,-46.3%,186.4%,9.3%,33.4%,0.28,-69.6%,90.5%,5.6%,31.8%,0.18,-85.5%
纯进攻 K=2,0.0,2,-0.0742606372346315,-0.006469291358711771,0.043857546981676876,-0.14750691281057188,-0.1936653080800892,122.9%,7.0%,22.4%,0.31,-46.3%,186.4%,9.3%,33.4%,0.28,-69.6%,90.5%,5.6%,31.8%,0.18,-85.5%
纯进攻 K=3,0.0,3,0.0982313125389862,0.007912531439884463,0.07132417508854912,0.11093758084213436,-0.19667203108008224,122.9%,7.0%,22.4%,0.31,-46.3%,186.4%,9.3%,33.4%,0.28,-69.6%,90.5%,5.6%,31.8%,0.18,-85.5%
纯进攻 K=4,0.0,4,-0.014380867819309806,-0.0012176456572646766,0.06216641762632996,-0.01958687187966506,-0.2194472945348558,122.9%,7.0%,22.4%,0.31,-46.3%,186.4%,9.3%,33.4%,0.28,-69.6%,90.5%,5.6%,31.8%,0.18,-85.5%
纯进攻 K=5,0.0,5,-0.07466436954927502,-0.006505744214704068,0.051947487094000384,-0.12523693788944493,-0.19869311062834016,122.9%,7.0%,22.4%,0.31,-46.3%,186.4%,9.3%,33.4%,0.28,-69.6%,90.5%,5.6%,31.8%,0.18,-85.5%
纯进攻 K=6,0.0,6,0.2120448581826282,0.016307046722719987,0.07171649676599372,0.2273820872194695,-0.19667203108008224,122.9%,7.0%,22.4%,0.31,-46.3%,186.4%,9.3%,33.4%,0.28,-69.6%,90.5%,5.6%,31.8%,0.18,-85.5%
