date,etf,action,amount
2014-04-28,国债ETF,buy,999999.9999999999
2014-04-29,国债ETF,sell,999999.9999999999
2014-06-11,国债ETF,buy,500595.91720316187
2014-06-11,纳指,buy,500595.9172031619
2014-06-12,创业板,buy,332497.7415857413
2014-06-12,国债ETF,sell,168098.17561742058
2014-06-12,纳指,sell,168098.17561742064
2014-06-13,创业板,buy,659.9056337570073
2014-06-13,国债ETF,buy,659.9056337570073
2014-06-13,纳指,buy,659.9056337570073
2014-06-16,创业板,buy,1334.6947855094913
2014-06-16,国债ETF,buy,1334.6947855094913
2014-06-16,纳指,buy,1334.6947855094913
2014-06-17,创业板,sell,939.535040625371
2014-06-17,国债ETF,sell,939.535040625371
2014-06-17,纳指,sell,939.535040625371
2014-06-18,创业板,sell,1145.6465637217043
2014-06-18,国债ETF,sell,1145.6465637217043
2014-06-18,纳指,sell,1145.6465637217043
2014-06-19,创业板,sell,332407.1604006607
2014-06-19,国债ETF,buy,162432.700012706
2014-06-19,纳指,buy,162432.700012706
2014-06-20,创业板,buy,247234.89177433323
2014-06-20,国债ETF,sell,247604.96863903347
2014-06-20,纳指,sell,247604.96863903347
2014-06-20,黄金,buy,247234.89177433323
2014-06-23,创业板,buy,1618.8437609103858
2014-06-23,国债ETF,buy,1618.8437609104149
2014-06-23,纳指,buy,1618.8437609104149
2014-06-23,黄金,buy,1618.8437609104149
2014-06-24,创业板,buy,619.4922592102666
2014-06-24,国债ETF,buy,619.4922592102375
2014-06-24,纳指,buy,619.4922592102375
2014-06-24,黄金,buy,619.4922592102375
2014-06-25,创业板,sell,957.8254965293454
2014-06-25,国债ETF,sell,957.8254965293454
2014-06-25,沪深300,buy,248515.40229792453
2014-06-25,纳指,sell,957.8254965293454
2014-06-25,黄金,sell,249473.22779445388
2014-06-26,创业板,sell,48161.343084043096
2014-06-26,国债ETF,sell,48161.343084043096
2014-06-26,沪深300,sell,48161.343084043096
2014-06-26,纳指,sell,48161.343084043096
2014-06-26,黄金,buy,200354.05921388144
2014-06-27,创业板,buy,274.16351111154654
2014-06-27,国债ETF,buy,274.16351111154654
2014-06-27,沪深300,buy,274.16351111154654
2014-06-27,纳指,buy,274.16351111154654
2014-06-27,黄金,buy,274.16351111154654
2014-06-30,创业板,buy,699.6973524551431
2014-06-30,国债ETF,buy,699.6973524551431
2014-06-30,沪深300,buy,699.6973524551431
2014-06-30,纳指,buy,699.6973524551431
2014-06-30,黄金,buy,699.6973524551431
2014-07-01,创业板,buy,443.5040907743387
2014-07-01,国债ETF,buy,443.5040907743387
2014-07-01,沪深300,buy,443.5040907743387
2014-07-01,纳指,buy,443.5040907743387
2014-07-01,黄金,buy,443.5040907743387
2014-07-02,创业板,buy,891.2217424056435
2014-07-02,国债ETF,buy,891.2217424056726
2014-07-02,沪深300,buy,891.2217424056726
2014-07-02,纳指,buy,891.2217424057017
2014-07-02,黄金,buy,891.2217424056435
2014-07-03,创业板,buy,125.62480244753533
2014-07-03,国债ETF,buy,125.62480244750623
2014-07-03,沪深300,buy,125.62480244750623
2014-07-03,纳指,buy,125.62480244747712
2014-07-03,黄金,buy,125.62480244753533
2014-07-04,创业板,buy,254.78066890174523
2014-07-04,国债ETF,buy,254.78066890171613
2014-07-04,沪深300,buy,254.78066890171613
2014-07-04,纳指,buy,254.78066890171613
2014-07-04,黄金,buy,254.78066890171613
2014-07-07,创业板,sell,737.9915751089575
2014-07-07,国债ETF,sell,737.9915751089284
2014-07-07,沪深300,sell,737.9915751089284
2014-07-07,纳指,sell,737.9915751089284
2014-07-07,黄金,sell,737.9915751089284
2014-07-08,创业板,buy,482.12335381261073
2014-07-08,国债ETF,buy,482.12335381261073
2014-07-08,沪深300,buy,482.12335381261073
2014-07-08,纳指,buy,482.12335381261073
2014-07-08,黄金,buy,482.12335381261073
2014-07-09,创业板,sell,2018.2858571726538
2014-07-09,国债ETF,sell,2018.2858571726538
2014-07-09,沪深300,sell,2018.2858571726538
2014-07-09,纳指,sell,2018.2858571726829
2014-07-09,黄金,sell,2018.2858571726538
2014-07-10,创业板,buy,49685.88763796553
2014-07-10,国债ETF,sell,200768.8973035084
2014-07-10,沪深300,buy,49685.88763796553
2014-07-10,纳指,buy,49685.887637965556
2014-07-10,黄金,buy,49685.88763796553
2014-07-11,创业板,sell,49998.69995965206
2014-07-11,国债ETF,buy,200456.08498182183
2014-07-11,沪深300,sell,49998.69995965209
2014-07-11,纳指,sell,49998.69995965209
2014-07-11,黄金,sell,49998.69995965209
2014-07-14,创业板,buy,563.0782944294042
2014-07-14,国债ETF,buy,563.0782944294333
2014-07-14,沪深300,buy,563.0782944294333
2014-07-14,纳指,buy,563.0782944294333
2014-07-14,黄金,buy,563.0782944294042
2014-07-15,创业板,sell,860.4072553198494
2014-07-15,国债ETF,sell,860.4072553198494
2014-07-15,沪深300,sell,860.4072553198494
2014-07-15,纳指,sell,860.4072553198494
2014-07-15,黄金,sell,860.4072553198203
2014-07-16,创业板,buy,48501.899446513824
2014-07-16,国债ETF,buy,48501.899446513795
2014-07-16,沪深300,buy,48501.899446513795
2014-07-16,纳指,buy,48501.899446513824
2014-07-16,黄金,sell,200158.7560209314
2014-07-17,创业板,sell,593.5524106509401
2014-07-17,国债ETF,sell,248660.6554674452
2014-07-17,沪深300,sell,593.552410650911
2014-07-17,纳指,sell,593.5524106509401
2014-07-17,黄金,buy,248067.1030567943
2014-07-18,创业板,buy,70.09384810019401
2014-07-18,沪深300,buy,70.09384810019401
2014-07-18,纳指,buy,70.09384810019401
2014-07-18,黄金,buy,70.09384810019401
2014-07-21,创业板,sell,248137.1969048945
2014-07-21,沪深300,sell,248137.1969048945
2014-07-21,纳指,sell,248137.1969048945
2014-07-21,黄金,sell,248137.1969048945
2014-07-30,沪深300,buy,331516.79860642145
2014-07-30,纳指,buy,331516.79860642145
2014-07-30,黄金,buy,331516.79860642145
2014-07-31,沪深300,buy,1576.6339538159082
2014-07-31,纳指,buy,1576.6339538159082
2014-07-31,黄金,buy,1576.6339538159082
2014-08-01,沪深300,sell,3857.807644214714
2014-08-01,纳指,sell,3857.807644214714
2014-08-01,黄金,sell,3857.807644214714
2014-08-04,沪深300,buy,3048.9765108599095
2014-08-04,纳指,buy,3048.9765108599095
2014-08-04,黄金,buy,3048.9765108599095
2014-08-05,沪深300,sell,448.8760902074864
2014-08-05,纳指,sell,448.8760902074864
2014-08-05,黄金,sell,448.8760902074864
2014-08-06,创业板,buy,198225.1296662141
2014-08-06,国债ETF,buy,198225.1296662141
2014-08-06,沪深300,sell,133610.59567046096
2014-08-06,纳指,sell,133610.59567046096
