date,nav
2014-01-27,1000000.0
2014-01-28,1000079.3650793651
2014-01-29,1000158.736457546
2014-01-30,1000238.1141350426
2014-02-07,1000317.498112355
2014-02-10,1000396.888389983
2014-02-11,1000476.2849684267
2014-02-12,1000555.6878481861
2014-02-13,1000635.0970297614
2014-02-14,1000714.5125136527
2014-02-17,1000793.9343003602
2014-02-18,1000873.3623903841
2014-02-19,1000952.7967842246
2014-02-20,1001032.2374823821
2014-02-21,1001111.6844853569
2014-02-24,1001191.1377936495
2014-02-25,1001270.5974077601
2014-02-26,1001350.0633281893
2014-02-27,1001429.5355554377
2014-02-28,1001509.0140900057
2014-03-03,1001588.4989323938
2014-03-04,1001667.9900831028
2014-03-05,1001747.4875426333
2014-03-06,1001826.991311486
2014-03-07,1001906.5013901616
2014-03-10,1001986.0177791609
2014-03-11,1002065.5404789847
2014-03-12,1002145.0694901339
2014-03-13,1002224.6048131094
2014-03-14,1002304.1464484121
2014-03-17,1002383.694396543
2014-03-18,1002463.248658003
2014-03-19,1002542.8092332934
2014-03-20,987655.8364889997
2014-03-21,987734.221872848
2014-03-24,985109.7823854305
2014-03-25,978781.2218936619
2014-03-26,978858.9029430186
2014-03-27,978936.590157538
2014-03-28,979014.2835377093
2014-03-31,979091.9830840218
2014-04-01,979169.688796965
2014-04-02,979247.4006770283
2014-04-03,979325.1187247011
2014-04-04,979402.842940473
2014-04-08,979480.5733248334
2014-04-09,983583.1097576076
2014-04-10,992813.8167313494
2014-04-11,1001018.8895968978
2014-04-14,1003070.1578132849
2014-04-15,993839.4508395429
2014-04-16,992813.8167313494
2014-04-17,991680.0507829444
2014-04-18,997469.3627261795
2014-04-21,974799.3380702257
2014-04-22,975899.6065233744
2014-04-23,985020.5650339576
2014-04-24,976889.9537047569
2014-04-25,946265.9973740467
2014-04-28,946341.0978500288
2014-04-29,946416.2042863661
2014-04-30,946491.3166835317
2014-05-05,946566.4350419987
2014-05-06,946641.5593622403
2014-05-07,946716.6896447294
2014-05-08,946791.8258899393
2014-05-09,946866.9680983433
2014-05-12,946942.1162704147
2014-05-13,947017.2704066266
2014-05-14,947092.4305074526
2014-05-15,947167.5965733659
2014-05-16,947242.7686048399
2014-05-19,947317.9466023482
2014-05-20,947393.1305663644
2014-05-21,947468.3204973617
2014-05-22,947543.5163958139
2014-05-23,947618.7182621945
2014-05-26,947693.9260969773
2014-05-27,947769.1399006358
2014-05-28,947844.3596736438
2014-05-29,947919.5854164751
2014-05-30,947994.8171296034
2014-06-03,948070.0548135026
2014-06-04,948145.2984686466
2014-06-05,948220.5480955092
2014-06-06,948295.8036945644
2014-06-09,948371.0652662863
2014-06-10,948446.3328111487
2014-06-11,948521.6063296258
2014-06-12,948596.8858221917
2014-06-13,948672.1712893205
2014-06-16,948747.4627314863
2014-06-17,948822.7601491634
2014-06-18,948898.0635428261
2014-06-19,948973.3729129486
2014-06-20,949048.6882600052
2014-06-23,949124.0095844703
2014-06-24,949199.3368868183
2014-06-25,949274.6701675237
2014-06-26,949350.0094270608
2014-06-27,949425.3546659043
2014-06-30,949500.7058845286
2014-07-01,946247.7691494102
2014-07-02,951150.5064220539
2014-07-03,961284.2923070773
2014-07-04,962960.3911659555
2014-07-07,957562.5021299333
2014-07-08,962953.986946459
2014-07-09,936713.1333464454
2014-07-10,928356.1922592078
2014-07-11,928429.8713220856
2014-07-14,960865.5160766047
2014-07-15,984485.614442657
2014-07-16,983056.0536995057
2014-07-17,965726.1434370626
2014-07-18,987731.5735772573
2014-07-21,994304.7646850001
2014-07-22,1007855.5644675076
2014-07-23,1000959.6904423824
2014-07-24,1007872.5137253823
2014-07-25,1017848.2474007196
2014-07-28,1047127.1425254251
2014-07-29,1038871.2104119437
2014-07-30,1040218.3452459153
2014-07-31,1062798.5429298915
2014-08-01,1073864.6965603211
2014-08-04,1093791.160692144
2014-08-05,1093762.097245161
2014-08-06,1089332.8055983705
2014-08-07,1061129.2711195908
2014-08-08,1064994.2666985143
2014-08-11,1087682.534368251
2014-08-12,1088969.9296968274
2014-08-13,1090293.2286346792
2014-08-14,1079178.5398228397
2014-08-15,1087399.6673388607
2014-08-18,1093030.2547865375
2014-08-19,1095918.903030344
2014-08-20,1101910.3775180883
2014-08-21,1092536.8693154803
2014-08-22,1097161.7664881048
2014-08-25,1087485.8052694772
2014-08-26,1064959.2486103317
2014-08-27,1066419.927332024
2014-08-28,1064838.371654275
2014-08-29,1079092.3755962602
2014-09-01,1088655.4619118357
2014-09-02,1111584.7892878088
2014-09-03,1125971.3943516477
2014-09-04,1129191.0750904307
2014-09-05,1149363.730110207
2014-09-09,1144243.7337104655
2014-09-10,1140766.446381972
2014-09-11,1128486.5104250817
2014-09-12,1133605.5560335177
2014-09-15,1135327.9826294829
2014-09-16,1085679.2944404548
2014-09-17,1096578.5271456826
2014-09-18,1103487.39313146
2014-09-19,1120556.5881642243
2014-09-22,1087807.8282171346
2014-09-23,1101438.9493184695
2014-09-24,1122617.2332652388
2014-09-25,1116525.5684363134
2014-09-26,1122713.4212894004
2014-09-29,1129078.838562208
2014-09-30,1133000.9557258522
2014-10-08,1150603.9706893084
2014-10-09,1153297.8060341051
2014-10-10,1137843.6200982593
2014-10-13,1121349.4311352395
2014-10-14,1117299.2521468245
2014-10-15,1118651.0489887712
2014-10-16,1108671.2831828946
2014-10-17,1110077.317324021
2014-10-20,1118936.4968628124
2014-10-21,1108289.345524095
2014-10-22,1086855.4750834154
2014-10-23,1086941.7334544538
2014-10-24,1087027.9986713945
2014-10-27,1087114.2707347812
2014-10-28,1087200.549645157
2014-10-29,1087286.8354030654
2014-10-30,1087373.12800905
2014-10-31,1087459.427463654
2014-11-03,1087545.733767421
2014-11-04,1087632.0469208946
2014-11-05,1087718.3669246186
2014-11-06,1087804.6937791365
2014-11-07,1087891.027484992
2014-11-10,1087977.368042729
2014-11-11,1088063.7154528913
2014-11-12,1088150.0697160226
2014-11-13,1088236.4308326668
2014-11-14,1088322.798803368
2014-11-17,1094967.8545376095
2014-11-18,1081239.7049013046
2014-11-19,1081325.5175762968
2014-11-20,1081411.3370618187
2014-11-21,1081497.163358411
2014-11-24,1081582.996466614
2014-11-25,1096077.9090012845
2014-11-26,1106282.5093955048
2014-11-27,1104747.5122928014
2014-11-28,1104705.810608781
2014-12-01,1136386.5152149326
2014-12-02,1155457.2434998564
2014-12-03,1181953.604847996
2014-12-04,1222197.958531327
2014-12-05,1193393.4588023496
2014-12-08,1199192.1390679714
2014-12-09,1174020.785113102
2014-12-10,1209241.408666495
2014-12-11,1218847.0332719658
2014-12-12,1228452.6578774366
2014-12-15,1239125.5741057377
2014-12-16,1227385.3662546065
2014-12-17,1203904.9505523443
2014-12-18,1210308.700289325
2014-12-19,1207106.8254208348
2014-12-22,1209241.408666495
2014-12-23,1210308.700289325
2014-12-24,1203904.9505523443
2014-12-25,1213197.846925963
2014-12-26,1225109.3722549342
2014-12-29,1221441.847576463
2014-12-30,1205201.3366509404
2014-12-31,1229743.7482991724
2015-01-05,1288208.1368910514
2015-01-06,1294798.0706969334
2015-01-07,1284157.7305281593
2015-01-08,1283196.3391920284
2015-01-09,1268228.0117668388
2015-01-12,1260324.244298204
2015-01-13,1258171.6836760037
2015-01-14,1245256.3199428027
2015-01-15,1256019.1230538036
2015-01-16,1261400.524609304
2015-01-19,1208662.7893653996
2015-01-20,1208758.7149836032
2015-01-21,1229566.9452235447
2015-01-22,1235055.6963961744
2015-01-23,1227053.398379996
2015-01-26,1245096.5700712802
2015-01-27,1244303.816725343
2015-01-28,1232576.6998268012
2015-01-29,1221583.1800441344
2015-01-30,1217305.6822587885
2015-02-02,1204946.5009927854
