开始,结束,持续天数,类型,均值超额
2014-07-25,2015-01-20,179,进攻跑赢,0.06905664222760463
2015-03-11,2015-09-28,201,进攻跑赢,0.08778750908903914
2015-12-02,2016-05-23,173,进攻跑输,-0.0778358840520602
2016-07-01,2016-11-22,144,进攻跑赢,0.04527491146348447
2016-11-23,2017-05-31,189,进攻跑赢,0.06128152174913123
2017-06-09,2018-06-21,377,进攻跑赢,0.12653442145335086
2018-06-29,2019-01-28,213,进攻跑输,-0.05441484359564394
2019-04-16,2021-11-04,933,进攻跑输,-0.09448672016091515
2021-12-14,2022-03-24,100,进攻跑赢,0.04931005500279193
2022-03-30,2022-08-31,154,进攻跑输,-0.032744046642987974
2022-08-31,2023-03-06,187,进攻跑赢,0.02966817441499341
2023-03-16,2023-11-27,256,进攻跑输,-0.08910139672844267
2023-12-18,2024-02-22,66,进攻跑赢,0.017043741276726143
2024-02-29,2024-08-27,180,进攻跑输,-0.0553923985295244
2024-09-27,2026-03-24,543,进攻跑输,-0.1688660459107993
