date,nav,exposure,repo_amount,final_multiplier,circuit_breaker_triggered,drawdown_level,drawdown,n_positions,position_names,defense_active,offense_top,scaling_factor,predicted_vol,defense_count
2024-06-18,1000000.0,1000000.0,0.0,0.31187651164589003,False,normal,0.0,7,沪深300;创业板;纳指;黄金;国债ETF;消费ETF;有色ETF,沪深300;创业板;纳指;黄金;国债ETF,消费ETF;有色ETF,0.31187651164589003,0.3206397284369454,5
2024-06-19,1020237.3300409424,1020237.3300409424,0.0,0.31570998178907855,False,normal,0.0,8,沪深300;创业板;纳指;黄金;国债ETF;消费ETF;有色ETF;科技ETF,沪深300;创业板;纳指;黄金;国债ETF,消费ETF;有色ETF;科技ETF,0.31570998178907855,0.31674639944329863,5
2024-06-20,992820.1697320408,992820.169732041,-1.1641532182693481e-10,0.30250899205237075,False,normal,-0.026873316140864315,5,沪深300;创业板;纳指;黄金;国债ETF,沪深300;创业板;纳指;黄金;国债ETF,,0.30250899205237075,0.33056868598037537,5
2024-06-21,1006442.9780200233,1006442.9780200232,1.1641532182693481e-10,0.3794857387345117,False,normal,-0.013520728574365651,3,纳指;黄金;国债ETF,纳指;黄金;国债ETF,,0.3794857387345117,0.2635145139669136,3
2024-06-24,986293.475002404,986293.475002404,0.0,0.363469400314232,False,normal,-0.033270547978455446,3,纳指;黄金;国债ETF,纳指;黄金;国债ETF,,0.363469400314232,0.2751263240139239,3
2024-06-25,977100.6585064849,977100.6585064848,1.1641532182693481e-10,0.3672143794321396,False,normal,-0.0422810166461233,3,纳指;黄金;国债ETF,纳指;黄金;国债ETF,,0.3672143794321396,0.2723204907025701,3
2024-06-26,973278.905218403,973278.905218403,0.0,0.3761373365353906,False,normal,-0.046026962001728546,4,纳指;黄金;国债ETF;科技ETF,纳指;黄金;国债ETF,科技ETF,0.3761373365353906,0.2658603395267862,3
2024-06-27,964246.2310787593,964246.2310787593,0.0,0.38105930424274786,False,normal,-0.05488046488157434,4,纳指;黄金;国债ETF;科技ETF,纳指;黄金;国债ETF,科技ETF,0.38105930424274786,0.2624263438435729,3
2024-06-28,975397.4506272352,975397.4506272351,1.1641532182693481e-10,0.3901688689431496,False,normal,-0.04395043985687893,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.3901688689431496,0.2562992795167641,3
2024-07-01,973644.2415349222,973644.241534922,1.1641532182693481e-10,0.4011704683109302,False,normal,-0.045668872461420776,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.4011704683109302,0.24927059167898236,3
2024-07-02,976025.1218030212,976025.1218030211,1.1641532182693481e-10,0.4137472892685194,False,normal,-0.04333521910646711,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.4137472892685194,0.24169342638303215,3
2024-07-03,988264.0878230525,988264.0878230524,1.1641532182693481e-10,0.42208725843255074,False,normal,-0.031339024045127596,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.42208725843255074,0.236917836305594,3
2024-07-04,984449.5249181782,984449.5249181781,1.1641532182693481e-10,0.43177935856824623,False,normal,-0.035077921645278384,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.43177935856824623,0.23159976968698515,3
2024-07-05,1001083.9206109337,1001083.9206109336,1.1641532182693481e-10,0.4342656371533028,False,normal,-0.018773484233555834,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.4342656371533028,0.23027380350773272,3
2024-07-08,996600.4622604613,996600.4622604613,0.0,0.4431990845740946,False,normal,-0.02316800913325977,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.4431990845740946,0.22563223499456905,3
2024-07-09,994371.8119410072,994371.8119410072,0.0,0.45491071654481136,False,normal,-0.02535245215826132,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.45491071654481136,0.21982335513995177,3
2024-07-10,1010097.9906590546,1010097.9906590546,0.0,0.45809617907698646,False,normal,-0.00993821641625377,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.45809617907698646,0.21829476989196686,3
2024-07-11,1018779.4005810337,1018779.4005810337,0.0,0.4708733055551917,False,normal,-0.001429010110667326,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.4708733055551917,0.21237135089255738,3
2024-07-12,1009682.8572426195,1009682.8572426194,1.1641532182693481e-10,0.4721845559435176,False,normal,-0.010345115285969153,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.4721845559435176,0.21178159840526833,3
2024-07-15,1022747.0978366252,1022747.0978366251,1.1641532182693481e-10,0.4797994972745805,False,normal,0.0,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.4797994972745805,0.20842039345191693,3
