date,nav,exposure,repo_amount,final_multiplier,circuit_breaker_triggered,drawdown_level,drawdown,n_positions,position_names,defense_active,offense_top,scaling_factor,predicted_vol,defense_count
2024-06-18,1000000.0,1000000.0,0.0,0.7796912791147268,False,normal,0.0,7,沪深300;创业板;纳指;黄金;国债ETF;消费ETF;有色ETF,沪深300;创业板;纳指;黄金;国债ETF,消费ETF;有色ETF,0.7796912791147268,0.12825589137477786,5
2024-06-19,1008012.823295675,1008012.823295675,0.0,0.7892749544726981,False,normal,0.0,8,沪深300;创业板;纳指;黄金;国债ETF;消费ETF;有色ETF;科技ETF,沪深300;创业板;纳指;黄金;国债ETF,消费ETF;有色ETF;科技ETF,0.7892749544726981,0.12669855977731917,5
2024-06-20,996981.0554324083,996981.0554324085,-1.1641532182693481e-10,0.7562724801309296,False,normal,-0.010944074924759907,5,沪深300;创业板;纳指;黄金;国债ETF,沪深300;创业板;纳指;黄金;国债ETF,,0.7562724801309296,0.13222747439214966,5
2024-06-21,1002282.5308162983,1002282.5308162982,1.1641532182693481e-10,1.0,False,normal,-0.005684741649061167,3,纳指;黄金;国债ETF,纳指;黄金;国债ETF,,1.0,0.10540580558676484,3
2024-06-24,994175.4481550552,994175.448155055,1.1641532182693481e-10,1.0,False,normal,-0.013727380069807872,3,纳指;黄金;国债ETF,纳指;黄金;国债ETF,,1.0,0.110050529605569,3
2024-06-25,990437.7525065275,990437.7525065274,1.1641532182693481e-10,1.0,False,normal,-0.01743536429594836,3,纳指;黄金;国债ETF,纳指;黄金;国债ETF,,1.0,0.10892819628102736,3
2024-06-26,988852.8891628683,988852.8891628683,0.0,1.0,False,normal,-0.019007629357495427,4,纳指;黄金;国债ETF;科技ETF,纳指;黄金;国债ETF,科技ETF,1.0,0.10634413581071392,3
2024-06-27,985166.3496780522,985166.3496780521,1.1641532182693481e-10,1.0,False,normal,-0.022664864066834704,4,纳指;黄金;国债ETF;科技ETF,纳指;黄金;国债ETF,科技ETF,1.0,0.10497053753742862,3
2024-06-28,989621.4068513796,989621.4068513794,1.1641532182693481e-10,1.0,False,normal,-0.018245220714717812,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,1.0,0.10251971180670517,3
2024-07-01,988908.7109707816,988908.7109707816,0.0,1.0,False,normal,-0.018952251284297058,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,1.0,0.0997082366715925,3
2024-07-02,989843.79428915,989843.7942891499,1.1641532182693481e-10,1.0,False,normal,-0.01802460106323024,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,1.0,0.09667737055321243,3
2024-07-03,994759.2125324457,994759.2125324457,0.0,1.0,False,normal,-0.013148256110370635,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,1.0,0.09476713452223719,3
2024-07-04,993134.8458722325,993134.8458722325,0.0,1.0,False,normal,-0.014759710471538763,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,1.0,0.09263990787479381,3
2024-07-05,999798.5061143365,999798.5061143364,1.1641532182693481e-10,1.0,False,normal,-0.008149020519879813,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,1.0,0.09210952140309288,3
2024-07-08,997955.4914507637,997955.4914507635,1.1641532182693481e-10,1.0,False,normal,-0.009977384823368726,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,1.0,0.09025289399782735,3
2024-07-09,997049.733730141,997049.7337301408,1.1641532182693481e-10,1.0,False,normal,-0.010875942559629804,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,1.0,0.08792934205598049,3
2024-07-10,1003311.7764886284,1003311.7764886284,0.0,1.0,False,normal,-0.004663677582668706,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,1.0,0.08731790795678662,3
2024-07-11,1006741.2230126787,1006741.2230126787,0.0,1.0,False,normal,-0.0012614921691559862,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,1.1771832638879811,0.08494854035702282,3
2024-07-12,1003125.2279448288,1003125.2279448288,0.0,1.0,False,normal,-0.004848743228152892,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,1.1804613898588,0.0847126393621069,3
2024-07-15,1008290.5394148449,1008290.5394148449,0.0,1.0,False,normal,0.0,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,1.1994987431864577,0.08336815738076632,3
2024-07-16,1012197.3244243367,1012197.3244243367,0.0,1.0,False,normal,0.0,7,沪深300;创业板;纳指;黄金;国债ETF;有色ETF;科技ETF,沪深300;创业板;纳指;黄金;国债ETF,有色ETF;科技ETF,1.0,0.10120568430991302,5
2024-07-17,1019237.7878076602,1019237.7878076602,0.0,1.0,False,normal,0.0,8,沪深300;创业板;纳指;黄金;国债ETF;医药ETF;有色ETF;科技ETF,沪深300;创业板;纳指;黄金;国债ETF,医药ETF;有色ETF;科技ETF,1.0,0.10038100288252987,5
2024-07-18,1027419.1288002405,1027419.1288002406,-1.1641532182693481e-10,1.0,False,normal,0.0,8,沪深300;创业板;纳指;黄金;国债ETF;医药ETF;有色ETF;科技ETF,沪深300;创业板;纳指;黄金;国债ETF,医药ETF;有色ETF;科技ETF,1.0,0.10019475416205473,5
2024-07-19,1017971.826555178,1017971.826555178,0.0,1.0,False,normal,-0.009195178462459064,6,创业板;纳指;黄金;国债ETF;有色ETF;科技ETF,创业板;纳指;黄金;国债ETF,有色ETF;科技ETF,1.0,0.10092698485091618,4
2024-07-22,1023954.9451048748,1023954.9451048748,0.0,1.0,False,normal,-0.0033717336949049648,8,沪深300;创业板;纳指;黄金;国债ETF;医药ETF;有色ETF;科技ETF,沪深300;创业板;纳指;黄金;国债ETF,医药ETF;有色ETF;科技ETF,1.0,0.10438252229744244,5
2024-07-23,1018708.7809898332,1018708.7809898332,0.0,0.7695079045737351,False,normal,-0.008477891413778442,7,沪深300;创业板;纳指;黄金;医药ETF;有色ETF;科技ETF,沪深300;创业板;纳指;黄金,医药ETF;有色ETF;科技ETF,0.7695079045737351,0.12995318099480016,4
2024-07-24,1013427.8039133449,1013427.8039133449,0.0,0.7779610744345823,False,normal,-0.013617933027228961,8,沪深300;创业板;纳指;黄金;医药ETF;有色ETF;科技ETF;军工ETF,沪深300;创业板;纳指;黄金,医药ETF;有色ETF;科技ETF;军工ETF,0.7779610744345823,0.12854113565088002,4
2024-07-25,1006062.3558266431,1006062.3558266431,0.0,0.7772312095719097,False,normal,-0.02078681657264507,6,沪深300;创业板;纳指;黄金;有色ETF;科技ETF,沪深300;创业板;纳指;黄金,有色ETF;科技ETF,0.7772312095719097,0.12866184317930168,4
2024-07-26,993516.8267257907,993516.8267257906,1.1641532182693481e-10,0.7315622117894925,False,normal,-0.03299753832113174,5,创业板;纳指;黄金;有色ETF;科技ETF,创业板;纳指;黄金,有色ETF;科技ETF,0.7315622117894925,0.13669377448486236,3
2024-07-29,999286.8099859144,999286.8099859144,0.0,0.7446233654390823,False,normal,-0.027381540819837902,5,创业板;纳指;黄金;有色ETF;科技ETF,创业板;纳指;黄金,有色ETF;科技ETF,0.7446233654390823,0.1342960812692642,3
2024-07-30,999756.266353424,999756.266353424,0.0,1.0,False,normal,-0.026924613014670525,6,创业板;纳指;黄金;国债ETF;医药ETF;科技ETF,创业板;纳指;黄金;国债ETF,医药ETF;科技ETF,1.0,0.09766085043953895,4
2024-07-31,1002701.940490369,1002701.940490369,0.0,1.0,False,normal,-0.024057551214502645,7,沪深300;创业板;纳指;黄金;国债ETF;医药ETF;科技ETF,沪深300;创业板;纳指;黄金;国债ETF,医药ETF;科技ETF,1.0,0.0996190029524996,5
2024-08-01,1000675.5114186744,1000675.5114186744,0.0,1.0,False,normal,-0.026029900195449648,8,沪深300;创业板;纳指;黄金;国债ETF;医药ETF;有色ETF;科技ETF,沪深300;创业板;纳指;黄金;国债ETF,医药ETF;有色ETF;科技ETF,1.0,0.09701709405454967,5
2024-08-02,1011252.485459773,1011252.485459773,0.0,1.0,False,normal,-0.0157351979219483,9,沪深300;创业板;纳指;黄金;国债ETF;消费ETF;医药ETF;有色ETF;科技ETF,沪深300;创业板;纳指;黄金;国债ETF,消费ETF;医药ETF;有色ETF;科技ETF,1.0,0.1018131229461517,5
2024-08-05,1022374.4081539083,1022374.4081539084,-1.1641532182693481e-10,1.0,False,normal,-0.004910090249364018,11,沪深300;创业板;纳指;黄金;国债ETF;消费ETF;医药ETF;证券ETF;有色ETF;科技ETF;军工ETF,沪深300;创业板;纳指;黄金;国债ETF,消费ETF;医药ETF;证券ETF;有色ETF;科技ETF;军工ETF,1.0,0.10579008563157036,5
