date,nav,exposure,repo_amount,final_multiplier,circuit_breaker_triggered,drawdown_level,drawdown,n_positions,position_names,defense_active,offense_top,scaling_factor,predicted_vol,defense_count
2024-06-18,1000000.0,1000000.0,0.0,0.5197941860764832,False,normal,0.0,7,沪深300;创业板;纳指;黄金;国债ETF;消费ETF;有色ETF,沪深300;创业板;纳指;黄金;国债ETF,消费ETF;有色ETF,0.5197941860764832,0.19238383706216727,5
2024-06-19,1012060.0545986992,1012060.0545986992,0.0,0.5261833029817974,False,normal,0.0,8,沪深300;创业板;纳指;黄金;国债ETF;消费ETF;有色ETF;科技ETF,沪深300;创业板;纳指;黄金;国债ETF,消费ETF;有色ETF;科技ETF,0.5261833029817974,0.19004783966597924,5
2024-06-20,995545.3729842012,995545.3729842012,0.0,0.5041816534206176,False,normal,-0.016317887006267042,5,沪深300;创业板;纳指;黄金;国债ETF,沪深300;创业板;纳指;黄金;国债ETF,,0.5041816534206176,0.19834121158822535,5
2024-06-21,1003570.5090156274,1003570.5090156274,0.0,0.6324762312241852,False,normal,-0.008388381247235406,3,纳指;黄金;国债ETF,纳指;黄金;国债ETF,,0.6324762312241852,0.1581087083801484,3
2024-06-24,991434.7885592916,991434.7885592915,1.1641532182693481e-10,0.6057823338570526,False,normal,-0.02037948829784205,3,纳指;黄金;国债ETF,纳指;黄金;国债ETF,,0.6057823338570526,0.16507579440835454,3
2024-06-25,985859.3064913888,985859.3064913888,0.0,0.6120239657202317,False,normal,-0.02588853100985146,3,纳指;黄金;国债ETF,纳指;黄金;国债ETF,,0.6120239657202317,0.1633922944215423,3
2024-06-26,983510.5992170749,983510.5992170748,1.1641532182693481e-10,0.626895560892317,False,normal,-0.02820925028302266,4,纳指;黄金;国债ETF;科技ETF,纳指;黄金;国债ETF,科技ETF,0.626895560892317,0.15951620371607192,3
2024-06-27,978018.4681086126,978018.4681086126,0.0,0.6350988404045784,False,normal,-0.033635935274201445,4,纳指;黄金;国债ETF;科技ETF,纳指;黄金;国债ETF,科技ETF,0.6350988404045784,0.15745580630614406,3
2024-06-28,984703.024105282,984703.024105282,0.0,0.6502814482385811,False,normal,-0.0270310347386102,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.6502814482385811,0.15377956771005882,3
2024-07-01,983639.8835041639,983639.8835041638,1.1641532182693481e-10,0.6686174471848821,False,normal,-0.028081506591824137,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.6686174471848821,0.14956235500738974,3
2024-07-02,985051.0176278504,985051.0176278504,0.0,0.6895788154475309,False,normal,-0.026687188026167468,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.6895788154475309,0.1450160558298196,3
2024-07-03,992412.9508583415,992412.9508583414,1.1641532182693481e-10,0.70347876405425,False,normal,-0.019412982116113774,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.70347876405425,0.14215070178335665,3
2024-07-04,990026.3987758494,990026.3987758494,0.0,0.7196322642804087,False,normal,-0.021771095225753764,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.7196322642804087,0.13895986181219142,3
2024-07-05,1000014.8424895168,1000014.8424895168,0.0,0.7237760619221696,False,normal,-0.011901677231948979,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.7237760619221696,0.13816428210463996,3
2024-07-08,997275.7716548034,997275.7716548033,1.1641532182693481e-10,0.7386651409568229,False,normal,-0.014608108359496542,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.7386651409568229,0.1353793409967417,3
2024-07-09,995924.6104802408,995924.6104802408,0.0,0.7581845275746839,False,normal,-0.015943168634253067,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.7581845275746839,0.13189401308397136,3
2024-07-10,1005329.6614490256,1005329.6614490255,1.1641532182693481e-10,0.763493631794975,False,normal,-0.006650191477364766,5,纳指;黄金;国债ETF;有色ETF;科技ETF,纳指;黄金;国债ETF,有色ETF;科技ETF,0.763493631794975,0.13097686193518054,3
