date,etf,event
2022-01-06,沪深300,inactive
2022-06-09,沪深300,active
2022-08-02,沪深300,inactive
2022-08-05,沪深300,active
2022-08-08,沪深300,inactive
2022-11-29,沪深300,active
2022-06-08,创业板,active
2022-08-12,创业板,inactive
2022-08-15,创业板,active
2022-08-18,创业板,inactive
2022-08-23,创业板,active
2022-08-24,创业板,inactive
2022-11-17,创业板,active
2022-11-25,创业板,inactive
2022-11-29,创业板,active
2022-11-30,创业板,inactive
2022-12-01,创业板,active
2022-12-08,创业板,inactive
2022-12-15,创业板,active
2022-12-20,创业板,inactive
2022-12-22,创业板,active
2022-12-26,创业板,inactive
2022-01-05,纳指,inactive
2022-03-25,纳指,active
2022-04-07,纳指,inactive
2022-04-20,纳指,active
2022-04-25,纳指,inactive
2022-04-26,纳指,active
2022-04-27,纳指,inactive
2022-05-05,纳指,active
2022-05-06,纳指,inactive
2022-05-09,纳指,active
2022-05-10,纳指,inactive
2022-05-16,纳指,active
2022-05-17,纳指,inactive
2022-07-18,纳指,active
2022-07-25,纳指,inactive
2022-07-28,纳指,active
2022-09-14,纳指,inactive
2022-09-20,纳指,active
2022-09-22,纳指,inactive
2022-11-16,纳指,active
2022-11-21,纳指,inactive
2022-11-23,纳指,active
2022-12-16,纳指,inactive
2022-01-19,黄金,active
2022-05-06,黄金,inactive
2022-05-16,黄金,active
2022-05-18,黄金,inactive
2022-05-20,黄金,active
2022-05-26,黄金,inactive
2022-05-27,黄金,active
2022-06-09,黄金,inactive
2022-08-25,黄金,active
2022-08-26,黄金,inactive
2022-08-30,黄金,active
2022-09-26,黄金,inactive
2022-09-29,黄金,active
2022-09-30,黄金,inactive
2022-10-10,黄金,active
2022-10-17,黄金,inactive
2022-10-18,黄金,active
2022-03-21,国债ETF,inactive
2022-04-11,国债ETF,active
2022-07-05,国债ETF,inactive
2022-07-06,国债ETF,active
2022-07-08,国债ETF,inactive
2022-07-15,国债ETF,active
2022-07-19,国债ETF,inactive
2022-07-22,国债ETF,active
2022-09-29,国债ETF,inactive
2022-10-10,国债ETF,active
2022-10-18,国债ETF,inactive
2022-10-27,国债ETF,active
2022-11-02,国债ETF,inactive
2022-11-03,国债ETF,active
2022-11-04,国债ETF,inactive
2022-11-25,国债ETF,active
2022-11-28,国债ETF,inactive
