regime,etf,entry_date,exit_date,hold_days,entry_nav,exit_nav,segment_return,is_loss
2016-02→2016-12,创业板,2016-03-18,2016-03-21,3,1600685.85,1600690.47,3e-06,False
2016-02→2016-12,创业板,2016-06-17,2016-06-21,4,1572326.58,1572326.58,0.0,False
2016-02→2016-12,创业板,2016-06-22,2016-06-23,1,1572326.58,1572326.58,0.0,False
2016-02→2016-12,创业板,2016-06-24,2016-07-01,7,1572326.58,1572326.58,0.0,False
2016-02→2016-12,创业板,2016-08-05,2016-08-11,6,1576798.77,1579428.44,0.001668,False
2016-02→2016-12,创业板,2016-08-12,2016-08-22,10,1588267.16,1594833.5,0.004134,False
2016-02→2016-12,创业板,2016-10-25,2016-10-27,2,1612089.09,1600463.86,-0.007211,True
2016-02→2016-12,创业板,2016-11-15,2016-11-18,3,1568623.74,1577670.43,0.005767,False
2016-02→2016-12,创业板,2016-11-22,2016-11-24,2,1597767.96,1593180.85,-0.002871,True
2016-02→2016-12,创业板,2016-11-25,2016-12-02,7,1609985.9,1591968.44,-0.011191,True
2016-02→2016-12,国债ETF,2016-04-28,2016-05-09,11,1594721.93,1574715.25,-0.012546,True
2016-02→2016-12,国债ETF,2016-05-10,2016-05-19,9,1571406.15,1543627.45,-0.017678,True
2016-02→2016-12,沪深300,2016-05-11,2016-05-13,2,1568706.29,1566765.31,-0.001237,True
2016-02→2016-12,沪深300,2016-06-03,2016-06-06,3,1519616.7,1522307.78,0.001771,False
2016-02→2016-12,纳指,2016-05-04,2016-05-10,6,1610138.48,1571406.15,-0.024055,True
2016-02→2016-12,纳指,2016-05-11,2016-05-13,2,1568706.29,1566765.31,-0.001237,True
2016-02→2016-12,纳指,2016-05-17,2016-05-18,1,1563113.48,1556207.22,-0.004418,True
2016-02→2016-12,纳指,2016-05-25,2016-06-13,19,1509129.72,1542318.19,0.021992,False
2016-02→2016-12,纳指,2016-06-17,2016-06-21,4,1572326.58,1572326.58,0.0,False
2016-02→2016-12,纳指,2016-11-10,2016-11-11,1,1578575.6,1576239.84,-0.00148,True
2016-02→2016-12,黄金,2016-04-18,2016-04-22,4,1618711.38,1601212.21,-0.010811,True
2016-02→2016-12,黄金,2016-04-27,2016-04-28,1,1592556.49,1594721.93,0.00136,False
2016-02→2016-12,黄金,2016-09-07,2016-09-12,5,1602969.36,1573135.98,-0.018611,True
2016-02→2016-12,黄金,2016-09-14,2016-09-19,5,1574179.27,1583720.5,0.006061,False
2016-02→2016-12,黄金,2016-09-20,2016-09-23,3,1579977.61,1601113.7,0.013377,False
2016-02→2016-12,黄金,2016-09-26,2016-09-27,1,1581792.77,1581404.81,-0.000245,True
2016-02→2016-12,黄金,2016-11-09,2016-11-10,1,1583040.93,1578575.6,-0.002821,True
2021-07→2021-12,创业板,2021-07-28,2021-08-17,20,2364055.06,2362474.8,-0.000668,True
2021-07→2021-12,创业板,2021-10-20,2021-10-27,7,2286660.48,2297028.43,0.004534,False
2021-07→2021-12,创业板,2021-12-28,2021-12-29,1,2282399.83,2267818.02,-0.006389,True
2021-07→2021-12,国债ETF,2021-09-23,2021-09-28,5,2355538.99,2352613.15,-0.001242,True
2021-07→2021-12,国债ETF,2021-09-29,2021-10-11,12,2319239.41,2313667.66,-0.002402,True
2021-07→2021-12,国债ETF,2021-10-12,2021-10-18,6,2289629.55,2282402.49,-0.003156,True
2021-07→2021-12,国债ETF,2021-11-02,2021-11-03,1,2286403.61,2286403.61,0.0,False
2021-07→2021-12,沪深300,2021-07-13,2021-07-14,1,2425673.69,2413947.18,-0.004834,True
2021-07→2021-12,沪深300,2021-07-15,2021-07-20,5,2425095.01,2397856.88,-0.011232,True
2021-07→2021-12,沪深300,2021-09-22,2021-09-28,6,2341665.99,2352613.15,0.004675,False
2021-07→2021-12,沪深300,2021-10-11,2021-10-12,1,2313667.66,2289629.55,-0.01039,True
2021-07→2021-12,沪深300,2021-10-20,2021-10-28,8,2286660.48,2287322.67,0.00029,False
2021-07→2021-12,沪深300,2021-10-29,2021-11-04,6,2287504.21,2286403.61,-0.000481,True
2021-07→2021-12,沪深300,2021-11-08,2021-11-09,1,2286403.61,2286403.61,0.0,False
2021-07→2021-12,沪深300,2021-11-19,2021-11-26,7,2296029.72,2305577.52,0.004158,False
2021-07→2021-12,沪深300,2021-12-06,2021-12-07,1,2263487.66,2266860.12,0.00149,False
2021-07→2021-12,沪深300,2021-12-08,2021-12-17,9,2296970.25,2277987.63,-0.008264,True
2021-07→2021-12,纳指,2021-09-23,2021-09-29,6,2355538.99,2319239.41,-0.01541,True
2021-07→2021-12,纳指,2021-10-19,2021-10-27,8,2282583.63,2297028.43,0.006328,False
2021-07→2021-12,黄金,2021-10-12,2021-10-18,6,2289629.55,2282402.49,-0.003156,True
2021-07→2021-12,黄金,2021-11-11,2021-11-23,12,2279043.77,2305577.52,0.011642,False
2021-07→2021-12,黄金,2021-11-24,2021-12-02,8,2305577.52,2288064.76,-0.007596,True
2021-07→2021-12,黄金,2021-12-06,2021-12-07,1,2263487.66,2266860.12,0.00149,False
2021-07→2021-12,黄金,2021-12-14,2021-12-15,1,2306327.96,2289789.42,-0.007171,True
2021-07→2021-12,黄金,2021-12-17,2021-12-22,5,2277987.63,2261622.86,-0.007184,True
2021-07→2021-12,黄金,2021-12-23,2021-12-30,7,2275233.66,2267252.1,-0.003508,True
